52.38,SimpleNets-RNN2,25.79,SimpleNets-RNN2,32.46,SimpleNets-RNN2,48.57,SMH-RandForest-b
50.79,UoW,26.59,UoW,33.11,UoW,48.20,UoW
48.41,SMH-RandForest-b,27.78,SimpleNets-RNN3,34.60,SMH-RandForest-b,47.54,SMH-Logistic
47.62,SMH-Logistic,28.17,Majority-class,36.27,SimpleNets-RNN3,46.06,SimpleNets-RNN2
47.62,SimpleNets-RNN3,28.17,SMH-Logistic,37.29,SMH-RandForest,44.50,SMH-RandForest
44.44,SMH-RandForest,28.97,SMH-RandForest-b,40.07,SMH-Logistic,40.94,METEOR
43.65,Majority-class,31.75,SMH-RandForest,40.52,Majority-class,40.75,SimpleNets-RNN3
42.86,METEOR,32.54,SimpleNets-MLP,41.44,MS-RandForest,39.85,MS-RandForest
41.27,DeepBow,33.73,DeepBow,41.79,METEOR,39.80,DeepIndiBow
40.48,DeepIndiBow,34.92,DeepIndiBow,42.16,IIT-Metrics,39.30,IIT-Metrics
39.68,IIT-Metrics,34.92,IIT-Metrics,42.70,DeepBow,38.27,MS-IBk
39.68,MS-RandForest,35.71,MS-RandForest,42.97,DeepIndiBow,38.16,MS-IBk-b
38.10,TER,37.30,METEOR,43.78,MT-baseline,38.03,DeepBow
38.10,MT-baseline,37.70,MS-IBk-b,43.80,MS-IBk,37.49,MT-baseline
38.10,MS-IBk-b,39.29,MS-IBk,44.21,CLaC-0.5,34.08,TER
38.10,MS-IBk,40.87,TER,44.30,MS-IBk-b,34.06,CLaC-0.5
38.10,SimpleNets-MLP,41.27,CLaC-0.5,45.01,BLEU,33.69,SimpleNets-MLP
37.30,BLEU,41.27,CLaC-0.7,45.16,CLaC-0.7,33.04,IIT-Default
35.71,WER,41.27,BLEU,45.67,CLaC-0.6,32.92,BLEU
34.13,CLaC-0.5,41.67,MT-baseline,46.29,TER,32.88,CLaC-0.7
33.33,IIT-Default,42.06,CLaC-0.6,47.83,IIT-Default,32.20,CLaC-0.6
33.33,CLaC-0.7,42.06,WER,47.94,WER,31.28,WER
32.54,CLaC-0.6,42.46,IIT-Default,48.13,SimpleNets-MLP,26.53,Majority-class
